SCAC,Company name,Country,Category
BIEN,BIRCHMIER ENTERPRISES LIMITED LIABILITY COMPANY,USA,Other Players
BSHL,BISH EXPRESS INCORPORATED,USA,Other Players
BHPR,BISHOP TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
BWMA,"BISKUP, WACLAW M",,Other Players
BSRM,BISS TRANSPORT INCORPORATED,USA,Other Players
BEMN,BITTING ELECTRIC INCORPORATED,USA,Other Players
BJHA,BJH GLOBAL LOGISTICS CORPORATION,,Mid-sized International Freight Forwarders
BKHN,BK SHIPPING COMPANY LIMITED,,Other Players
BKNV,BLACK COYOTE TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
BFSF,BLACK FUNNEL SHIPPING LIMITED,,Other Players
BNOW,BLACKSTONE SHIPPING NETHERLAND BV,,Other Players
BFSI,"BLAIS, F SERVICE",,Other Players
BSNV,"BLANTON, SC EXPRESS LIMITED LIABILITY COMPANY",USA,Other Players
BZSW,BLAZE SHIPPING LTF,,Mid-sized International Freight Forwarders
BSSC,BLETSCH STEAMSHIP COMPANY,,Other Players
BCOD,"BLINDU, CONSTANTIN",,Other Players
BKFF,BLINKFREIGHT (SHANGHAI) INTERNATIONAL FORWARDING COMPANY LIMITED,,Mid-sized International Freight Forwarders
BWSH,BLUARROW SHIPPING S A,,Other Players
BANQ,BLUE ANCHOR AMERICA LINE (BLUE ANCHOR LINE),,NVOCCs
BACL,BLUE ARROW CONTAINER LINE (BACL) LIMITED,,NVOCCs
BUAC,BLUE ATLANTIC COMPANY,,Other Players
BBYO,BLUE BELL LOGISTICS PVT LIMITED,India,Mid-sized Indian Freight Forwarders
BBCB,BLUE BERKHS SHIPPING PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
BCGR,BLUE CARGO GROUP LIMITED LIABILITY COMPANY (BLU LOGISTICS),USA,Mid-sized International Freight Forwarders
BQEP,BLUE CARGO LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
BCBH,BLUE COLLARED HAULER LIMITED LIABILITY COMPANY,USA,Other Players
BQEG,BLUE EAGLE CONSOLIDATION GMBH,,Mid-sized International Freight Forwarders
BLFH,BLUEFISH SHIPPING LIMITED,,Other Players
BHPA,BLUE HELPERS TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
BFFW,BLUELINE FREIGHT FORWARDERS,,Mid-sized International Freight Forwarders
BLBL,BLUE LINE SHIP MANAGEMENT SA,,Other Players
BLME,BLUE LOTUS OCEAN LINE LIMITED,,NVOCCs
BMLV,BLUE MARITIME LINE,,NVOCCs
BMHW,BLUE MARLIN CHARTERING BV,,Other Players
BMLB,BLUE MOON LOGISTICS,,Other Players
BNGI,BLUE NET LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
BOFC,BLUE OCEAN FREIGHT INCORPORATED,USA,Mid-sized International Freight Forwarders
BPDL,BLUE PARTNERS LOGISTICS,,Mid-sized International Freight Forwarders
BMCM,BLUEPOOL PANAMAX LIMITED,,Other Players
BGUL,BLUEPRINT GLOBAL USA LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
BLSM,BLUE SPECIAL MARITIME ENTERPRISE,,Other Players
BMIQ,BLUESTAR MARITIME INCORPORATED,USA,Other Players
BSPG,BLUE STAR TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
BEPN,BLUETIDE ESERVICES PRIVATE LIMITED,India,Other Players
BWDP,BLUE WATER LOGISTICS PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
BLWM,BLUE WATER MARITIME LIMITED LIABILITY COMPANY,USA,Other Players
BLWR,BLUE WATER SHIPPING COMPANY,,Large International Freight Forwarders
BWSS,BLUE WATER SHIPPING US INCORPORATED,USA,Large International Freight Forwarders
BWSB,BLUE WATER TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
BWMP,BLUE WAVE LINE NV,,NVOCCs
BWHF,BLUE WHALE SUPPLY CHAIN (SHENZHEN) COMPANY LIMITED,,Mid-sized International Freight Forwarders
BWLE,BLUE WORLD LINE,,NVOCCs
BLJI,BLU LOGISTICS (CHINA) COMPANY LIMITED,,Mid-sized International Freight Forwarders
BJMK,"BLUMENTHAL, JOHANN M K GMBH & COMPANY KG",,Other Players
BMII,BMI INCORPORATED,USA,Other Players
BMSB,BMS,,Other Players
BMSA,B M SHIPPING COMPANY LIMITED,,Other Players
BMSV,BMSL INTERNATIONAL,,Mid-sized International Freight Forwarders
BMSH,BMS TRADER GROUP LIMITED LIABILITY COMPANY,USA,US Importer
BSVV,BM SUPPLY CHAIN SOLUTION COMPANY LIMITED,,Mid-sized International Freight Forwarders
BMAO,BMT TRANSPORT INCORPORATED,USA,Other Players
BNAR,BNK TRANSPORT INCORPORATED,USA,Other Players
BNFA,BNSF LOGISTICS INTERNATIONAL INCORPORATED,USA,Large International Freight Forwarders
BOCL,BNSF LOGISTICS OCEAN LINE INCORPORATED,USA,NVOCCs
BNSF,BNSF RAILWAY COMPANY,,Other Players
BNSI,BNS XPRESS LIMITED LIABILITY COMPANY,USA,Other Players
BNXD,BNX SHIPPING INCORPORATED,USA,Mid-sized International Freight Forwarders
BOAH,BOA OFFSHORE AS,,Other Players
BOAO,BOA OFFSHORE AS,,Other Players
BCLI,BOAR CARRIER LIMITED LIABILITY COMPANY,USA,Other Players
BDSC,BOBS DELIVERY SERVICE INCORPORATED,USA,Other Players
BOCN,BOCIMAR INTERNATIONAL NV,,Other Players
BJNS,"BOJEN, SIEGFRIED KG",,Other Players
BKET,BOKE TRADING INCORPORATED,USA,US Importer
BOQQ,BOLD LOGISTICS SL,,Mid-sized International Freight Forwarders
BVBC,BOLD VOYAGER SHIPPING LIMITED,,Other Players
BIBC,BOLIN TRUCKING,,Other Players
BOLV,B O LOGISTIC CORPORATION,,Other Players
BONA,BONA LOGISTICS US INCORPORATED,USA,Mid-sized International Freight Forwarders
BBQJ,BOND & BRIDGE LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
BXGC,BONDEX LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
BXAB,BONDEX LOGISTICS (HONG KONG) COMPANY LIMITED,,Mid-sized International Freight Forwarders
BCLM,BONITO COMPANY LIMITED,,Other Players
BNJS,BONJA SHIPPING COMPANY LIMITED,,Other Players
BGAS,BONNY GAS TRANSPORT,,Other Players
BOTV,B ON THE MOVE LIMITED LIABILITY COMPANY,USA,Other Players
BVLV,BON VOYAGE LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
BUKW,BOOKING UNION (CHN) COMPANY LIMITED,,Mid-sized International Freight Forwarders
BOOP,BOOMSMA SHIPPING B V,,Other Players
BDOW,"BOOTH, DOUGLAS",,Other Players
BTBV,BORDER TWO (2) BORDER SERVICES,,Other Players
BDAI,BOREALIS DENIZCILIK A.S.,,Other Players
BKMV,BORINKEN MARINE AGENCY INCORPORATED,USA,Other Players
BOUM,BORSHEIM LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
BLDD,BORUSAN LOJISTIK DAGITIM DEPOLAMA TASIMACILIK VE TICARET AS,,Mid-sized International Freight Forwarders
BOHV,BOSKALIS OFFSHORE HEAVY MARINE TRANSPORT BV,,Other Players
BOUK,BOSKALIS OFFSHORE INTERNATIONAL B.V.,,Other Players
BFSN,BOSSHOG FREIGHT SOLUTIONS LIMITED LIABILITY COMPANY,USA,Other Players
BOUB,BOUBOULINA SPECIAL MARITIME ENTERPRISE,,Other Players
BTCI,BOUCHARD TRANSPORTATION COMPANY INCORPORATED,USA,Other Players
BVJM,BOWELLGREEN GROUP INCORPORATED,USA,Mid-sized International Freight Forwarders
BPLJ,BOXCOWORLD PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
BYGW,BOYANG LIMITED,,Other Players
BOYP,BOYERO SHIPPING LIMITED,,Other Players
BOYT,BOYER TOWING INCORPORATED,USA,Other Players
BPXE,BP EXPLORATION & PRODUCTION INCORPORATED,USA,Other Players
BPET,B & P EXPRESS TRANPORT LIMITED LIABILITY COMPANY,USA,Other Players
BPGT,BPG SHIPPING COMPANY DMCC,,Other Players
BISJ,BPI INTERNATIONAL SHIPPING LIMITED,,Mid-sized International Freight Forwarders
BPSH,BP SHIPPING LIMITED,,Other Players
BQFC,B & Q FREIGHT CHINA LIMITED,,Mid-sized International Freight Forwarders
BPBW,BRAKE PARTS INCORPORATED LIMITED LIABILITY COMPANY,USA,US Importer
BOPW,BRANCH OF PETROVIETNAM TRANSPORTATION CORPORATION,,Other Players
BNBN,BRASKEM TRADING AND SHIPPING BV,,Other Players
BNVD,BREEZE NAVIGATION LIMITED,,Other Players
BICW,BREMEN INDUSTRIAL CARRIERS LIMITED,,Other Players
BEJN,BRENALS TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
BMSM,"BRETTSCHNEIDER, MATTHEW",,Other Players
BWJC,BREWER LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
BREE,BR EXPRESS INCORPORATED,USA,Mid-sized International Freight Forwarders
BRDK,BRI ATLANTA INCORPORATED,USA,Mid-sized International Freight Forwarders
BRDT,BRIDGESTONE LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
BSGG,BRIDGE STREET LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
BSFF,BRIESE SCHIFFAHRTS VERWALTUNGS GMBH,,Other Players
BRGF,BRIGHTEN FREIGHT INCORPORATED,USA,Mid-sized International Freight Forwarders
BRNV,BRIGHT NAVIGATION INCORPORATED,USA,Other Players
BSGI,BRIGHT STAR LOGISTICS,,Mid-sized International Freight Forwarders
BSRD,BRIGHT STAR LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
BGPL,BRILLIANT GROUP LOGISTICS CORPORATION,,Mid-sized International Freight Forwarders
BIHO,BRILLIANT INTERNATIONAL LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
BJEL,"BRISCO, JIM ENTERPRISES INCORPORATED",USA,Other Players
BKLE,BRISK LOGISTICS INCORPORATED,USA,Other Players
BAMH,BRITISH AMERICAN SHIPPING LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
BSTB,BRITO & SON TRANSPORT INCORPORATED,USA,Other Players
BGUV,BROADWAY GLOBAL LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
BHKB,BROCHART KB,,Other Players
BQML,BROEKMAN LOGISTICS INDIA PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
BNAO,BROINTERMED LINES LIMITED,,Other Players
BSFN,BROMLEY SHIPPING & TRADING LIMITED,,Other Players
BHLK,BRONCO HAULERS LIMITED LIABILITY COMPANY,USA,Other Players
BTOH,BROOKLINE TRANSPORTATION COMPANY INCORPORATED,USA,Other Players
BMMW,BROOKMIAH TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
BROS,BROWN BEAR TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
BBLD,BROWN & BLAND LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
BBFS,BROWN BUILDING FLEET LIMITED LIABILITY COMPANY,,Other Players
BGNL,"BROWN, GLENN",,Other Players
BZZN,BRUZZONE SHIPPING INCORPORATED,USA,Mid-sized International Freight Forwarders
BSCQ,BRYAN MATIAS,,Other Players
BGNR,BRYGGEN SHIPPING INTERNATIONAL AS,,Other Players
BSFD,B & S FISHING LIMITED,,Other Players
BSFM,B & S GLOBAL LIMITED LIABILITY COMPANY,USA,Other Players
BNWK,BSL NETWORKS INCORPORATED,USA,Mid-sized International Freight Forwarders
BCPD,BTD CARGO INTERNATIONAL S DE RL,,Mid-sized International Freight Forwarders
BTNV,BTI INCORPORATED,USA,Other Players
BNIE,BTL TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
BHDQ,B-TOWN HAULERS INCORPORATED,USA,Other Players
BBVF,BTS LOGISTICS BV,,Mid-sized International Freight Forwarders
BTBC,B TWO B (B2B) GLOBAL LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
BMUL,BTX-MSP,,Mid-sized International Freight Forwarders
BZKF,BUCHHOLZ & KUTTRUFF INCORPORATED,USA,Other Players
BHSE,BUCKY'S HOTSHOT LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
BRGG,BUGLE RIDGE TRANSPORT,,Other Players
BELJ,BULBOUS ENVIRONMENTAL & LOGISTICS INCORPORATED,USA,Other Players
BAMT,BULK AND METAL TRANSPORT (UK) LLP,,Other Players
BUKA,BULK ATLANTIC INCORPORATED,USA,Other Players
BUMM,BULKBOOKERS B.V.,,Other Players
BHOS,BULKHANDLING A/S,,Other Players
BUML,BULK MARINE LIMITED (BVI),,Other Players
BKTD,BULK TRADING SA,,Other Players
BUNG,BUNGE S A,,Other Players
BUAA,BURAK TRANSPORT INCORPORATED,USA,Other Players
BRNI,BURNARD INTERNATIONAL,,Mid-sized International Freight Forwarders
BVCO,BV COMPANY,,Other Players
BEKD,BW EPIC KOSAN MARITIME PTE LIMITED,,Other Players
BGDY,BW GAS LPG CHARTERING PTE LIMITED,,Other Players
BWGA,BW LNG AS,,Other Players
BWOG,BW LPG POOL PTE LIMITED,,Other Players
BWOF,BW OFFSHORE USA INCORPORATED,USA,Other Players
BSGY,B W SHIPS DMCC,,Other Players
BWPF,BW TANKERS PTE LIMITED,,Other Players
BISI,BXCEL INTERNATIONAL SDN BHD,,Mid-sized International Freight Forwarders
BYFS,BYFLEET SHIPPING INCORPORATED,USA,Other Players
BYTG,BYRON TWO ONE (21) LIMITED,,Other Players
BYZA,BYZANTINE MARITIME CORPORATION,,Other Players
BYZM,BYZANTINE MARITIME GAS PTE LIMITED,,Other Players
CPEQ,CA2-PO-ET-LG-BR-EO-QY-WC-AE-SE-CP-DS-CC-KP-CL-AN-UD-ES-KT-FK,,Other Players
CCNR,CABANON CANADA S E N C,CANADA,Other Players
CCSD,CABEZON CARRIER LIMITED LIABILITY COMPANY,USA,Other Players
CBHT,CABO HELLAS LIMITED,,Other Players
CSHP,CABRERA SHIPPING A/S,,Other Players
CAHS,CAESAR SHIPPING & LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
CWWF,CAF WORLDWIDE INCORPORATED (OCEAN FREIGHT),USA,Mid-sized International Freight Forwarders
CLNL,CALDREN CORPORATION LIMITED,,Other Players
CDTF,CALIFORNIA DIRECT TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
CKWI,"CAL-IXA AGGREGATES, LIMITED LIABILITY COMPANY",USA,Other Players
CAML,CALYPSO MARITIME INCORPORATED,USA,Other Players
CNYQ,CAMBODIAN SSEZ JD-LINK LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
CAMJ,"CAMELOT COMPANY, THE",,Other Players
CAYP,CAMPBELL PROJECTS PTE LIMITED.,,Other Players
CSQW,CAMPBELL SHIPPING COMPANY LIMITED,,Other Players
CBOF,CAMPILLO LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
CFHY,CANADIAN FISHING COMPANY,,Other Players
CNRU,CANADIAN NATIONAL RAILWAYS,,Other Players
CPRS,CANADIAN PACIFIC RAILWAY,,Other Players
CBRG,CANAL BARGE COMPANY INCORPORATED,USA,Other Players
CAKR,CANAMA TRADING S DE R L,,Other Players
CFWA,CANAM FREIGHTWAYS LIMITED,,Other Players
CSXM,CANDLER SCHIFFAHRT GMBH,,Other Players
CDFN,CANFORNAV INCORPORATED,USA,Other Players
CNVL,CANNES VIEW INCORPORATED,USA,Other Players
CNNJ,CANON LOGISTICS CORPORATION,,Mid-sized International Freight Forwarders
CASJ,CAN-SAIL INTERNATIONAL LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
CNSH,CANSHIP UGLAND LIMITED,,Other Players
CISH,CANSIN INTERNATIONAL LOGISTICS (SHANGHAI) COMPANY LIMITED,,Mid-sized International Freight Forwarders
CSFJ,CAN-STATES FREIGHT SYSTEMS INCORPORATED,USA,Other Players
CJZY,CAPE CORAL TRADING LIMITED,,Other Players
CPUK,CAPE MANAGEMENT COMPANY INCORPORATED,USA,Other Players
CPHH,CAPES SHIPPING AGENCIES,,Other Players
CPTT,CAPITAL CORPORATION,,Other Players
CPEW,CAPITAL EXPRESS INTL INCORPORATED,USA,Mid-sized International Freight Forwarders
CFMI,CAPITAL FREIGHT MANAGEMENT INCORPORATED,USA,Mid-sized International Freight Forwarders
CLGR,CAPITAL LOGISTICS INTERNATIONAL,,Mid-sized International Freight Forwarders
CSMC,CAPITAL SHIP MANAGEMENT CORPORATION,,Other Players
CCSY,CARADILIS COLLIES,,Other Players
CRVP,CARAVEL SHIPPING INCORPORATED,USA,NVOCCs
CARB,CARBOFIN S P A,,Other Players
CBCR,CARBO TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
CDNM,CARDINAL LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
CCNI,CARDINAL LOGISTICS MANAGEMENT CORPORATION RYDER A/K/A (RYDER INTEGRATED LOGISTICS INCORPORATED-BROKERAGE),USA,Large International Freight Forwarders
CMLD,CARDINAL MARINE LIMITED,,Other Players
CMMD,CARDINAL MARITIME LIMITED,,Other Players
CTSO,CARDINAL TRANSPORTATION SERVICES LIMITED LIABILITY COMPANY,USA,Other Players
CCBE,CARE PETROLEUM TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
CFTH,CARETRANS FREIGHT SERVICE INCORPORATED,USA,Mid-sized International Freight Forwarders
CINT,CARGILL INTERNATIONAL S A,,Large International Freight Forwarders
CAVT,CARGO ADVANTAGE NETWORK LIMITED,,Mid-sized International Freight Forwarders
CALS,CARGO ALLIANCE SERVICE,,Mid-sized International Freight Forwarders
CGGI,CARGOCARE LOGISTICS (INDIA) PVT LIMITED,India,Mid-sized Indian Freight Forwarders
CGLR,CARGO CARE LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
CGIA,CARGO CARGO,,Other Players
CGCW,CARGO CONSOLIDATION CORPORATION,,NVOCCs
CCGH,CARGO CONSOLIDATORS AGENCY LIMITED,,Mid-sized International Freight Forwarders
CCLL,CARGO CONTAINER LINE LIMITED,,NVOCCs
CDII,CARGO DRAGON INTERNATIONAL LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
CELY,CARGO ERA LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CEXE,CARGO EXPRESS SHIPPING INCORPORATED,USA,Mid-sized International Freight Forwarders
CGGH,CARGO GATE INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
CGUF,CARGOGULF INCORPORATED,USA,Mid-sized International Freight Forwarders
CHAG,CARGO HANDLERS INCORPORATED,USA,Other Players
CIUA,CARGO INFINITY USA INCORPORATED,USA,Mid-sized International Freight Forwarders
CCKO,CARGOLAB COMPANY LIMITED,,Mid-sized International Freight Forwarders
COAC,CARGO-LEVANT SCHIFFAHRTSGES MBH,,Other Players
CGWW,CARGOLIVE WORLDWIDE LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CMRI,CARGO MARITIME INCORPORATED,USA,Mid-sized International Freight Forwarders
CGAM,CARGOMAX,,Mid-sized International Freight Forwarders
CGIG,CARGOMONDO GROUP INCORPORATED,USA,Mid-sized International Freight Forwarders
CMMG,CARGO MOVERS INCORPORATED,USA,Mid-sized International Freight Forwarders
CNQB,CARGO N CARGO,,Other Players
CLVD,CARGONET LOGISTICS VIETNAM COMPANY LIMITED,,Mid-sized International Freight Forwarders
CGUA,CARGO NET USA LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CGPN,CARGO PARTNER NETWORK INCORPORATED,USA,Mid-sized International Freight Forwarders
CPER,CARGO PRO EXPRESS INCORPORATED,USA,Other Players
CARD,CARGOQUOTES,,Other Players
CGST,CARGO SOLUTION INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
CGIC,CARGO TOURS INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
CCAP,CARGOTRANS COMPANY LIMITED,,Mid-sized International Freight Forwarders
CICQ,CARGOTRANS INTERNATIONAL CORPORATION,,Mid-sized International Freight Forwarders
CWLT,CARGOWAYS LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
CGWL,CARGO WORLD LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CGWK,CAR GO WORLDWIDE INCORPORATED,USA,Mid-sized International Freight Forwarders
CGZL,CARGOZONE LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
CGHY,CARIBBEAN CARGO HOLDINGS,,Mid-sized International Freight Forwarders
CBNR,CARIBBEAN EXPRESS LINE,,NVOCCs
CFCP,CARIBBEAN FOREST CARRIERS S A,,Other Players
CILM,CARIBBEAN ISLAND LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CMVD,CARIBBEAN MERCHANDISING SERVICES,,US Importer
CFPR,CARIBE FREIGHT FORWARDING OF PUERTO RICO INCORPORATED,USA,Mid-sized International Freight Forwarders
CBDW,CARIBE TANKERS LIMITED,,Other Players
CTKP,CARIBE TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
CBXW,CARIBEX WORLDWIDE INCORPORATED,USA,Mid-sized International Freight Forwarders
CBKS,CARISBROOKE SHIPPING LIMITED,,Other Players
CPDO,CARL PRODUCT CORPORATION,,US Importer
CRNV,CARNIVAL CRUISE LINES,,Other Players
CPUD,CARNIVAL PLC (UK),,Other Players
CWXW,CAROLINA LOGISTICS INCORPORATED,USA,Other Players
CXWI,CARONEX WORLDWIDE INCORPORATED,USA,Mid-sized International Freight Forwarders
CROI,CAROTRANS INTERNATIONAL,,NVOCCs
CZPH,CAROZPLUS LOGISTICS (HK) LIMITED,,Mid-sized International Freight Forwarders
CPBB,CARPENTER TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
CGPG,CARRIAGE SHIPPING INCORPORATED,USA,Mid-sized International Freight Forwarders
CFGG,CARRIER FIVE THREE (CARRIER53) SHIPPING GMBH,,Other Players
CLPG,CARRIERIQ LIMITED LIABILITY COMPANY,USA,Other Players
CSJJ,CARRIER SAN JOSE,,Other Players
CLIB,CARRILLOS LOGISTICS INCORPORATED,USA,Other Players
CFHW,CARSON FREIGHT LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CESI,CARTEE LOGISTICS INCORPORATED,USA,Other Players
CCOW,CARTER CONTAINER AND FREIGHT LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CCLT,CASA CHINA LIMITED,,Other Players
CSGY,CASAL LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
CSMG,CASCADE MANUFACTURING LIMITED,,Other Players
CSYV,CASEY TRANSPORTATION SERVICES INCORPORATED,USA,Other Players
CAEC,CASHMAN EQUIPMENT CORPORATION,,Other Players
CGLS,CASIA GLOBAL LOGISITICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
CAAG,CASILLAS TRANSPORTATION SERVICES INCORPORATED,USA,Other Players
CIEC,CAS INTERNATIONAL COMPANY LIMITED,,Mid-sized International Freight Forwarders
CGGM,CASTLEGATE LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
CCMH,CASTLETON COMMODITIES MERCHANT ASIA COMPANY PTE LIMITED,,Other Players
CAHW,CASTOR SHIPS SA,,Other Players
CGIP,CASTRO GROUP INCORPORATED,USA,Mid-sized International Freight Forwarders
CSVV,CASTROS TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
CASH,CAT AND SONS TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
CVPV,CAVALIER LOGISTICS PVT LIMITED,India,Mid-sized Indian Freight Forwarders
CYML,CAYCEM GA INCORPORATED,USA,US Importer
CMHW,CAYCEM TRADING LIMITED,,Other Players
CYPA,CAYTRANS PROJECT SERVICES (AMERICAS) LIMITED,,Mid-sized International Freight Forwarders
CBTW,CBC INTERNATIONAL LOGISTICS & WAREHOUSEING LIMITED,,Mid-sized International Freight Forwarders
CBHY,CB HOTSHOT SERVICES INCORPORATED,USA,Other Players
CGLH,CCA GLOBAL LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CCKN,C & C FREIGHT NETWORK LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CGQO,C & C GLOBAL ENDEAVORS LIMITED LIABILITY COMPANY,USA,Other Players
CGJD,C & C GLOBAL LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
CCUM,CCL CUSTOMS SERVICES INCORPORATED,USA,Other Players
CGPS,CCL GROUP INCORPORATED,USA,Mid-sized International Freight Forwarders
CCZV,CCS SHIPPING LIMITED,,Mid-sized International Freight Forwarders
CSJP,CCT SERVICIOS LOGISTICOS,,Mid-sized International Freight Forwarders
CDCC,CDC CARIBE INCORPORATED,USA,US Importer
CDIV,CD INDUSTRIAL GROUP INCORPORATED,USA,US Importer
CBPG,CDL BROKERAGE LIMITED LIABILITY COMPANY,USA,Other Players
CDGB,CDM THREE (CDM3) TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
CDQR,CDRN,,Other Players
CEAJ,CEA TRUCKING CORPORATION,,Other Players
CFIE,CEGENTRANS FREIGHT INCORPORATED,USA,Mid-sized International Freight Forwarders
CDER,CELADON TRUCKING SERVICES INCORPORATED (REFER),USA,Other Players
CQLY,CELEBRITY CRUISES,,Other Players
CISN,CELTIC INTERNATIONAL SHIPPING AGENCY LIMITED LIABILITY COMPANY,USA,Other Players
CESG,CELTIC SHIPPING INCORPORATED,USA,Other Players
CMIR,CEMI TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
CNUO,CENTAURI TRANSPORT,,Other Players
CROS,CENTAURO S A,,Other Players
CYCW,CENTENARY CARRIERS PTE LIMITED,,Other Players
CDST,CENTRAL DISPATCH INCORPORATED,USA,Other Players
CEPV,CENTRAL EXPRESS INTL COMPANY LIMITED,,Mid-sized International Freight Forwarders
CEGL,CENTRAL GULF LINES INCORPORATED,USA,Other Players
CMWQ,CENTRAL MARE INCORPORATED,USA,Other Players
CISW,CENTRAL MARINE LOGISTICS INCORPORATED,USA,Other Players
COIY,CENTRAL OIL,,Other Players
CSME,CENTRAL SHIP MANAGEMENT LIMITED,,Other Players
CSWA,CENTRAL SHIPPING AGENCY SPA,,Other Players
CVCW,CENTRAL VALLEY CAPACITY INCORPORATED,USA,Other Players
CIQK,CENTRANS INTERNATIONAL CORPORATION,,Mid-sized International Freight Forwarders
CBKG,CENTURION BULK PTE LIMITED,,Other Players
CUFL,CENTURION FREIGHT LIMITED LIABILITY COMPANY,USA,Other Players
CLML,CENTURION LOGISTICS MANAGEMENT,,Mid-sized International Freight Forwarders
CMPJ,CENTURION MPP PTE LIMITED,,Other Players
CEXQ,CENTURY EXPRESS,,Mid-sized International Freight Forwarders
CEFW,CEP TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
CGZV,CETUS MARITIME ASIA PTE LIMITED,,Other Players
CJJG,CETUS MARITIME CHARTERING LIMITED,,Other Players
CJIO,CETUS MARITIME (SINGAPORE) PTE LIMITED,,Other Players
CBPV,CF B TWO B (B2B) LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
CFHE,CFG OVERSEAS SRL,,Mid-sized International Freight Forwarders
CFLD,CFL BROKERS INCORPORATED,USA,Other Players
CFRF,CFR LINE,,NVOCCs
CBGV,CGB ENTERPRISES LIMITED LIABILITY COMPANY,USA,US Importer
CGCF,CGC,,Other Players
CGZB,CGL COHESION GLOBAL LOGISTICS USA LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
CGRW,CG RAILWAY INCORPORATED,USA,Other Players
CGRS,CGR TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
